registry_id,timestamp,p13_abs_kw,p30_abs_kw,first_membership_id
REG_000243,2010-07-01 07:30:00,-459.963511042042,3135.57189868859,CAL_000244
REG_000244,2010-07-01 07:30:00,-458.297916343705,-1481.57966662998,CAL_000497
REG_000245,2010-07-01 07:30:00,-443.547702888292,-1488.23462305679,CAL_000498
REG_000246,2010-07-01 07:30:00,-436.407211581752,3123.68775784177,CAL_000243
REG_000247,2010-07-01 07:30:00,-428.861958275247,-1494.86049262746,CAL_000499
REG_000248,2010-07-01 07:30:00,-414.23803832768,-1501.45846833367,CAL_000500
REG_000249,2010-07-01 07:30:00,-413.27761529572,3112.01888852481,CAL_000242
REG_000250,2010-07-01 07:30:00,-399.673339844,-1508.02972468,CAL_000501
REG_000251,2010-07-01 07:30:00,-390.559803203144,3100.55776411964,CAL_000241
REG_000252,2010-07-01 07:30:00,-385.076749950299,-1514.35025252283,CAL_000503
REG_000253,2010-07-01 07:30:00,-370.53769017674,-1520.64586901796,CAL_000504
REG_000254,2010-07-01 07:30:00,-368.239506129803,3089.29718583527,CAL_000240
REG_000255,2010-07-01 07:30:00,-356.05361941714,-1526.91767449995,CAL_000505
REG_000256,2010-07-01 07:30:00,-346.303068974,3078.23026468,CAL_000239
REG_000257,2010-07-01 07:30:00,-341.622032442817,-1533.1667537679,CAL_000506
REG_000258,2010-07-01 07:30:00,-327.240458080955,-1539.39417687425,CAL_000507
REG_000259,2010-07-01 07:30:00,-324.842968758628,3067.68361848241,CAL_000238
REG_000260,2010-07-01 07:30:00,-312.906457442015,-1545.60099989232,CAL_000508
REG_000261,2010-07-01 07:30:00,-303.733688163999,3057.30938389437,CAL_000237
REG_000262,2010-07-01 07:30:00,-298.617622192314,-1551.78826566434,CAL_000509
REG_000263,2010-07-01 07:30:00,-284.371572869028,-1557.95700453102,CAL_000510
REG_000264,2010-07-01 07:30:00,-282.9635566401,3047.10182538059,CAL_000236
REG_000265,2010-07-01 07:30:00,-270.165957235069,-1564.10823504396,CAL_000511
