timestamp,axis_direction,search_id,final_feasible_search_coordinate_kw,final_violating_search_coordinate_kw,final_feasible_signed_pcc_coordinate_kw,final_violating_signed_pcc_coordinate_kw,axis_bracket_width_kw,bisection_steps,binding_mechanism,binding_bus,resolution_classification
2012-08-31 11:30:00,P13+,P13_POSITIVE,1492.5,1492.8125,1492.5,1492.8125,0.3125,8,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-31 11:30:00,P13-,P13_NEGATIVE,1675.3125,1675.46875,-1675.3125,-1675.46875,0.15625,10,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-31 11:30:00,P30+,P30_POSITIVE,2127.8125,2128.125,2127.8125,2128.125,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-31 11:30:00,P30-,P30_NEGATIVE,2412.03125,2412.1875,-2412.03125,-2412.1875,0.15625,10,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-01 07:30:00,P13+,P13_POSITIVE,2047.1875,2047.34375,2047.1875,2047.34375,0.15625,10,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-01 07:30:00,P13-,P13_NEGATIVE,1142.8125,1143.125,-1142.8125,-1143.125,0.3125,8,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-01 07:30:00,P30+,P30_POSITIVE,2909.375,2910,2909.375,2910,0.625,8,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-01 07:30:00,P30-,P30_NEGATIVE,1680,1680.15625,-1680,-1680.15625,0.15625,10,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-24 12:00:00,P13+,P13_POSITIVE,1509.0625,1509.21875,1509.0625,1509.21875,0.15625,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-24 12:00:00,P13-,P13_NEGATIVE,1659.375,1659.53125,-1659.375,-1659.53125,0.15625,10,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
